description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
test tp scroll	1				100					1	tsc							tsc	99		99																										amu	99		99	sock		6	6	6																					rin	99		99	sock		6	6	6																					0
Helm Socket	1				100					2	helm,nos	lzh						useitem				sock			1	1																																																																															0
Torso Socket	1				100					2	tors,nos	lzh						useitem				sock			1	1																																																																															0
Shield Socket	1				100					2	shld,nos	lzh						useitem				sock			1	1																																																																															0
Weapon Socket	1				100					2	weap,nos	lzh						useitem				sock			1	1																																																																															0
Amulet Socket	1				100					2	amu,nos	lzh						useitem				sock			1	1																																																																															0
Ring Socket	1				100					2	rin,nos	lzh						useitem				sock			1	1																																																																															0
6 magic jewels → 1 rare jewel	1				100					6	jew,mag,qty=6							jew,rar		100																																																																																					0
6 rare jewels → 1 unique jewel	1				100					6	jew,rar,qty=6							jew,uni		100																																																																																					0
2 unique jewels → 1 unique jewel	1				100					2	jew,uni,qty=2							jew,uni		100																																																																																					0
Weapon - Normal -> White	1					18	375	0		4	weap,any	gpw,qty=3						useitem				CD_White			1	1	state		194	1	1	CD_Tracker			1	1																																																																					0
Weapon - Normal -> Black	1					18	375	0		4	weap,any	skz,qty=3						useitem				CD_Black			1	1	state		195	1	1	CD_Tracker			2	2																																																																					0
Weapon - Normal -> Red	1					18	375	0		4	weap,any	gpr,qty=3						useitem				CD_Red			1	1	state		196	1	1	CD_Tracker			3	3																																																																					0
Weapon - Normal -> Green	1					18	375	0		4	weap,any	gpg,qty=3						useitem				CD_Green			1	1	state		197	1	1	CD_Tracker			4	4																																																																					0
Weapon - Normal -> Blue	1					18	375	0		4	weap,any	gpb,qty=3						useitem				CD_Blue			1	1	state		198	1	1	CD_Tracker			5	5																																																																					0
Weapon - Normal -> Yellow	1					18	375	0		4	weap,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		199	1	1	CD_Tracker			6	6																																																																					0
Weapon - Normal -> Purple	1					18	375	0		4	weap,any	gpv,qty=3						useitem				CD_Purple			1	1	state		200	1	1	CD_Tracker			7	7																																																																					0
Weapon - White -> Black	1					18	375	1		4	weap,any	skz,qty=3						useitem				CD_Black			1	1	state		195	1	1	CD_Tracker			1	1	CD_White			-1	-1	state		194	-1	-1																																																											0
Weapon - White -> Red	1					18	375	1		4	weap,any	gpr,qty=3						useitem				CD_Red			1	1	state		196	1	1	CD_Tracker			2	2	CD_White			-1	-1	state		194	-1	-1																																																											0
Weapon - White -> Green	1					18	375	1		4	weap,any	gpg,qty=3						useitem				CD_Green			1	1	state		197	1	1	CD_Tracker			3	3	CD_White			-1	-1	state		194	-1	-1																																																											0
Weapon - White -> Blue	1					18	375	1		4	weap,any	gpb,qty=3						useitem				CD_Blue			1	1	state		198	1	1	CD_Tracker			4	4	CD_White			-1	-1	state		194	-1	-1																																																											0
Weapon - White -> Yellow	1					18	375	1		4	weap,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		199	1	1	CD_Tracker			5	5	CD_White			-1	-1	state		194	-1	-1																																																											0
Weapon - White -> Purple	1					18	375	1		4	weap,any	gpv,qty=3						useitem				CD_Purple			1	1	state		200	1	1	CD_Tracker			6	6	CD_White			-1	-1	state		194	-1	-1																																																											0
Weapon - White -> Normal	1					18	375	1		4	weap,any	yps,qty=3						useitem														CD_Tracker			-1	-1	CD_White			-1	-1	state		194	-1	-1																																																											0
Weapon - Black -> Red	1					18	375	2		4	weap,any	gpr,qty=3						useitem				CD_Red			1	1	state		196	1	1	CD_Tracker			1	1	CD_Black			-1	-1	state		195	-1	-1																																																											0
Weapon - Black -> Green	1					18	375	2		4	weap,any	gpg,qty=3						useitem				CD_Green			1	1	state		197	1	1	CD_Tracker			2	2	CD_Black			-1	-1	state		195	-1	-1																																																											0
Weapon - Black -> Blue	1					18	375	2		4	weap,any	gpb,qty=3						useitem				CD_Blue			1	1	state		198	1	1	CD_Tracker			3	3	CD_Black			-1	-1	state		195	-1	-1																																																											0
Weapon - Black -> Yellow	1					18	375	2		4	weap,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		199	1	1	CD_Tracker			4	4	CD_Black			-1	-1	state		195	-1	-1																																																											0
Weapon - Black -> Purple	1					18	375	2		4	weap,any	gpv,qty=3						useitem				CD_Purple			1	1	state		200	1	1	CD_Tracker			5	5	CD_Black			-1	-1	state		195	-1	-1																																																											0
Weapon - Black -> White	1					18	375	2		4	weap,any	gpw,qty=3						useitem				CD_White			1	1	state		194	1	1	CD_Tracker			-1	-1	CD_Black			-1	-1	state		195	-1	-1																																																											0
Weapon - Black -> Normal	1					18	375	2		4	weap,any	yps,qty=3						useitem														CD_Tracker			-2	-2	CD_Black			-1	-1	state		195	-1	-1																																																											0
Weapon - Red -> Green	1					18	375	3		4	weap,any	gpg,qty=3						useitem				CD_Green			1	1	state		197	1	1	CD_Tracker			1	1	CD_Red			-1	-1	state		196	-1	-1																																																											0
Weapon - Red -> Blue	1					18	375	3		4	weap,any	gpb,qty=3						useitem				CD_Blue			1	1	state		198	1	1	CD_Tracker			2	2	CD_Red			-1	-1	state		196	-1	-1																																																											0
Weapon - Red -> Yellow	1					18	375	3		4	weap,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		199	1	1	CD_Tracker			3	3	CD_Red			-1	-1	state		196	-1	-1																																																											0
Weapon - Red -> Purple	1					18	375	3		4	weap,any	gpv,qty=3						useitem				CD_Purple			1	1	state		200	1	1	CD_Tracker			4	4	CD_Red			-1	-1	state		196	-1	-1																																																											0
Weapon - Red -> White	1					18	375	3		4	weap,any	gpw,qty=3						useitem				CD_White			1	1	state		194	1	1	CD_Tracker			-2	-2	CD_Red			-1	-1	state		196	-1	-1																																																											0
Weapon - Red -> Black	1					18	375	3		4	weap,any	skz,qty=3						useitem				CD_Black			1	1	state		195	1	1	CD_Tracker			-1	-1	CD_Red			-1	-1	state		196	-1	-1																																																											0
Weapon - Red -> Normal	1					18	375	3		4	weap,any	yps,qty=3						useitem														CD_Tracker			-3	-3	CD_Red			-1	-1	state		196	-1	-1																																																											0
Weapon - Green -> Blue	1					18	375	4		4	weap,any	gpy,qty=3						useitem				CD_Blue			1	1	state		198	1	1	CD_Tracker			1	1	CD_Green			-1	-1	state		197	-1	-1																																																											0
Weapon - Green -> Yellow	1					18	375	4		4	weap,any	gpv,qty=3						useitem				CD_Yellow			1	1	state		199	1	1	CD_Tracker			2	2	CD_Green			-1	-1	state		197	-1	-1																																																											0
Weapon - Green -> Purple	1					18	375	4		4	weap,any	gpw,qty=3						useitem				CD_Purple			1	1	state		200	1	1	CD_Tracker			3	3	CD_Green			-1	-1	state		197	-1	-1																																																											0
Weapon - Green -> White	1					18	375	4		4	weap,any	skz,qty=3						useitem				CD_White			1	1	state		194	1	1	CD_Tracker			-3	-3	CD_Green			-1	-1	state		197	-1	-1																																																											0
Weapon - Green -> Black	1					18	375	4		4	weap,any	gpr,qty=3						useitem				CD_Black			1	1	state		195	1	1	CD_Tracker			-2	-2	CD_Green			-1	-1	state		197	-1	-1																																																											0
Weapon - Green -> Red	1					18	375	4		4	weap,any	gpg,qty=3						useitem				CD_Red			1	1	state		196	1	1	CD_Tracker			-1	-1	CD_Green			-1	-1	state		197	-1	-1																																																											0
Weapon - Green -> Normal	1					18	375	4		4	weap,any	yps,qty=3						useitem														CD_Tracker			-4	-4	CD_Green			-1	-1	state		197	-1	-1																																																											0
Weapon - Blue -> Yellow	1					18	375	5		4	weap,any	gpv,qty=3						useitem				CD_Yellow			1	1	state		199	1	1	CD_Tracker			1	1	CD_Blue			-1	-1	state		198	-1	-1																																																											0
Weapon - Blue -> Purple	1					18	375	5		4	weap,any	gpw,qty=3						useitem				CD_Purple			1	1	state		200	1	1	CD_Tracker			2	2	CD_Blue			-1	-1	state		198	-1	-1																																																											0
Weapon - Blue -> White	1					18	375	5		4	weap,any	skz,qty=3						useitem				CD_White			1	1	state		194	1	1	CD_Tracker			-4	-4	CD_Blue			-1	-1	state		198	-1	-1																																																											0
Weapon - Blue -> Black	1					18	375	5		4	weap,any	gpr,qty=3						useitem				CD_Black			1	1	state		195	1	1	CD_Tracker			-3	-3	CD_Blue			-1	-1	state		198	-1	-1																																																											0
Weapon - Blue -> Red	1					18	375	5		4	weap,any	gpg,qty=3						useitem				CD_Red			1	1	state		196	1	1	CD_Tracker			-2	-2	CD_Blue			-1	-1	state		198	-1	-1																																																											0
Weapon - Blue -> Green	1					18	375	5		4	weap,any	gpb,qty=3						useitem				CD_Green			1	1	state		197	1	1	CD_Tracker			-1	-1	CD_Blue			-1	-1	state		198	-1	-1																																																											0
Weapon - Blue -> Normal	1					18	375	5		4	weap,any	yps,qty=3						useitem														CD_Tracker			-5	-5	CD_Blue			-1	-1	state		198	-1	-1																																																											0
Weapon - Yellow -> Purple	1					18	375	6		4	weap,any	gpv,qty=3						useitem				CD_Purple			1	1	state		200	1	1	CD_Tracker			1	1	CD_Yellow			-1	-1	state		199	-1	-1																																																											0
Weapon - Yellow -> White	1					18	375	6		4	weap,any	gpw,qty=3						useitem				CD_White			1	1	state		194	1	1	CD_Tracker			-5	-5	CD_Yellow			-1	-1	state		199	-1	-1																																																											0
Weapon - Yellow -> Black	1					18	375	6		4	weap,any	skz,qty=3						useitem				CD_Black			1	1	state		195	1	1	CD_Tracker			-4	-4	CD_Yellow			-1	-1	state		199	-1	-1																																																											0
Weapon - Yellow -> Red	1					18	375	6		4	weap,any	gpr,qty=3						useitem				CD_Red			1	1	state		196	1	1	CD_Tracker			-3	-3	CD_Yellow			-1	-1	state		199	-1	-1																																																											0
Weapon - Yellow -> Green	1					18	375	6		4	weap,any	gpg,qty=3						useitem				CD_Green			1	1	state		197	1	1	CD_Tracker			-2	-2	CD_Yellow			-1	-1	state		199	-1	-1																																																											0
Weapon - Yellow -> Blue	1					18	375	6		4	weap,any	gpb,qty=3						useitem				CD_Blue			1	1	state		198	1	1	CD_Tracker			-1	-1	CD_Yellow			-1	-1	state		199	-1	-1																																																											0
Weapon - Yellow -> Normal	1					18	375	6		4	weap,any	yps,qty=3						useitem														CD_Tracker			-6	-6	CD_Yellow			-1	-1	state		199	-1	-1																																																											0
Weapon - Purple -> White	1					18	375	7		4	weap,any	gpw,qty=3						useitem				CD_White			1	1	state		194	1	1	CD_Tracker			-6	-6	CD_Purple			-1	-1	state		200	-1	-1																																																											0
Weapon - Purple -> Black	1					18	375	7		4	weap,any	skz,qty=3						useitem				CD_Black			1	1	state		195	1	1	CD_Tracker			-5	-5	CD_Purple			-1	-1	state		200	-1	-1																																																											0
Weapon - Purple -> Red	1					18	375	7		4	weap,any	gpr,qty=3						useitem				CD_Red			1	1	state		196	1	1	CD_Tracker			-4	-4	CD_Purple			-1	-1	state		200	-1	-1																																																											0
Weapon - Purple -> Green	1					18	375	7		4	weap,any	gpg,qty=3						useitem				CD_Green			1	1	state		197	1	1	CD_Tracker			-3	-3	CD_Purple			-1	-1	state		200	-1	-1																																																											0
Weapon - Purple -> Blue	1					18	375	7		4	weap,any	gpb,qty=3						useitem				CD_Blue			1	1	state		198	1	1	CD_Tracker			-2	-2	CD_Purple			-1	-1	state		200	-1	-1																																																											0
Weapon - Purple -> Yellow	1					18	375	7		4	weap,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		199	1	1	CD_Tracker			-1	-1	CD_Purple			-1	-1	state		200	-1	-1																																																											0
Weapon - Purple -> Normal	1					18	375	7		4	weap,any	yps,qty=3						useitem														CD_Tracker			-7	-7	CD_Purple			-1	-1	state		200	-1	-1																																																											0
Torso - Normal -> White	1					18	375	0		4	tors,any	gpw,qty=3						useitem				CD_White			1	1	state		201	1	1	CD_Tracker			1	1				-1	-1	state			-1	-1																																																											0
Torso - Normal -> Black	1					18	375	0		4	tors,any	skz,qty=3						useitem				CD_Black			1	1	state		202	1	1	CD_Tracker			2	2				-1	-1	state			-1	-1																																																											0
Torso - Normal -> Red	1					18	375	0		4	tors,any	gpr,qty=3						useitem				CD_Red			1	1	state		203	1	1	CD_Tracker			3	3				-1	-1	state			-1	-1																																																											0
Torso - Normal -> Green	1					18	375	0		4	tors,any	gpg,qty=3						useitem				CD_Green			1	1	state		204	1	1	CD_Tracker			4	4				-1	-1	state			-1	-1																																																											0
Torso - Normal -> Blue	1					18	375	0		4	tors,any	gpb,qty=3						useitem				CD_Blue			1	1	state		205	1	1	CD_Tracker			5	5				-1	-1	state			-1	-1																																																											0
Torso - Normal -> Yellow	1					18	375	0		4	tors,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		206	1	1	CD_Tracker			6	6				-1	-1	state			-1	-1																																																											0
Torso - Normal -> Purple	1					18	375	0		4	tors,any	gpv,qty=3						useitem														CD_Tracker			7	7				-1	-1	state			-1	-1																																																											0
Torso - White -> Black	1					18	375	1		4	tors,any	skz,qty=3						useitem				CD_Black			1	1	state		202	1	1	CD_Tracker			1	1	CD_White			-1	-1	state		201	-1	-1																																																											0
Torso - White -> Red	1					18	375	1		4	tors,any	gpr,qty=3						useitem				CD_Red			1	1	state		203	1	1	CD_Tracker			2	2	CD_White			-1	-1	state		201	-1	-1																																																											0
Torso - White -> Green	1					18	375	1		4	tors,any	gpg,qty=3						useitem				CD_Green			1	1	state		204	1	1	CD_Tracker			3	3	CD_White			-1	-1	state		201	-1	-1																																																											0
Torso - White -> Blue	1					18	375	1		4	tors,any	gpb,qty=3						useitem				CD_Blue			1	1	state		205	1	1	CD_Tracker			4	4	CD_White			-1	-1	state		201	-1	-1																																																											0
Torso - White -> Yellow	1					18	375	1		4	tors,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		206	1	1	CD_Tracker			5	5	CD_White			-1	-1	state		201	-1	-1																																																											0
Torso - White -> Purple	1					18	375	1		4	tors,any	gpv,qty=3						useitem				CD_Purple			1	1	state		207	1	1	CD_Tracker			6	6	CD_White			-1	-1	state		201	-1	-1																																																											0
Torso - White -> Normal	1					18	375	1		4	tors,any	yps,qty=3						useitem														CD_Tracker			-1	-1	CD_White			-1	-1	state		201	-1	-1																																																											0
Torso - Black -> Red	1					18	375	2		4	tors,any	gpr,qty=3						useitem				CD_Red			1	1	state		203	1	1	CD_Tracker			1	1	CD_Black			-1	-1	state		202	-1	-1																																																											0
Torso - Black -> Green	1					18	375	2		4	tors,any	gpg,qty=3						useitem				CD_Green			1	1	state		204	1	1	CD_Tracker			2	2	CD_Black			-1	-1	state		202	-1	-1																																																											0
Torso - Black -> Blue	1					18	375	2		4	tors,any	gpb,qty=3						useitem				CD_Blue			1	1	state		205	1	1	CD_Tracker			3	3	CD_Black			-1	-1	state		202	-1	-1																																																											0
Torso - Black -> Yellow	1					18	375	2		4	tors,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		206	1	1	CD_Tracker			4	4	CD_Black			-1	-1	state		202	-1	-1																																																											0
Torso - Black -> Purple	1					18	375	2		4	tors,any	gpv,qty=3						useitem				CD_Purple			1	1	state		207	1	1	CD_Tracker			5	5	CD_Black			-1	-1	state		202	-1	-1																																																											0
Torso - Black -> White	1					18	375	2		4	tors,any	gpw,qty=3						useitem				CD_White			1	1	state		201	1	1	CD_Tracker			-1	-1	CD_Black			-1	-1	state		202	-1	-1																																																											0
Torso - Black -> Normal	1					18	375	2		4	tors,any	yps,qty=3						useitem														CD_Tracker			-2	-2	CD_Black			-1	-1	state		202	-1	-1																																																											0
Torso - Red -> Green	1					18	375	3		4	tors,any	gpg,qty=3						useitem				CD_Green			1	1	state		204	1	1	CD_Tracker			1	1	CD_Red			-1	-1	state		203	-1	-1																																																											0
Torso - Red -> Blue	1					18	375	3		4	tors,any	gpb,qty=3						useitem				CD_Blue			1	1	state		205	1	1	CD_Tracker			2	2	CD_Red			-1	-1	state		203	-1	-1																																																											0
Torso - Red -> Yellow	1					18	375	3		4	tors,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		206	1	1	CD_Tracker			3	3	CD_Red			-1	-1	state		203	-1	-1																																																											0
Torso - Red -> Purple	1					18	375	3		4	tors,any	gpv,qty=3						useitem				CD_Purple			1	1	state		207	1	1	CD_Tracker			4	4	CD_Red			-1	-1	state		203	-1	-1																																																											0
Torso - Red -> White	1					18	375	3		4	tors,any	gpw,qty=3						useitem				CD_White			1	1	state		201	1	1	CD_Tracker			-2	-2	CD_Red			-1	-1	state		203	-1	-1																																																											0
Torso - Red -> Black	1					18	375	3		4	tors,any	skz,qty=3						useitem				CD_Black			1	1	state		202	1	1	CD_Tracker			-1	-1	CD_Red			-1	-1	state		203	-1	-1																																																											0
Torso - Red -> Normal	1					18	375	3		4	tors,any	yps,qty=3						useitem														CD_Tracker			-3	-3	CD_Red			-1	-1	state		203	-1	-1																																																											0
Torso - Green -> Blue	1					18	375	4		4	tors,any	gpy,qty=3						useitem				CD_Blue			1	1	state		205	1	1	CD_Tracker			1	1	CD_Green			-1	-1	state		204	-1	-1																																																											0
Torso - Green -> Yellow	1					18	375	4		4	tors,any	gpv,qty=3						useitem				CD_Yellow			1	1	state		206	1	1	CD_Tracker			2	2	CD_Green			-1	-1	state		204	-1	-1																																																											0
Torso - Green -> Purple	1					18	375	4		4	tors,any	gpw,qty=3						useitem				CD_Purple			1	1	state		207	1	1	CD_Tracker			3	3	CD_Green			-1	-1	state		204	-1	-1																																																											0
Torso - Green -> White	1					18	375	4		4	tors,any	skz,qty=3						useitem				CD_White			1	1	state		201	1	1	CD_Tracker			-3	-3	CD_Green			-1	-1	state		204	-1	-1																																																											0
Torso - Green -> Black	1					18	375	4		4	tors,any	gpr,qty=3						useitem				CD_Black			1	1	state		202	1	1	CD_Tracker			-2	-2	CD_Green			-1	-1	state		204	-1	-1																																																											0
Torso - Green -> Red	1					18	375	4		4	tors,any	gpg,qty=3						useitem				CD_Red			1	1	state		203	1	1	CD_Tracker			-1	-1	CD_Green			-1	-1	state		204	-1	-1																																																											0
Torso - Green -> Normal	1					18	375	4		4	tors,any	yps,qty=3						useitem														CD_Tracker			-4	-4	CD_Green			-1	-1	state		204	-1	-1																																																											0
Torso - Blue -> Yellow	1					18	375	5		4	tors,any	gpv,qty=3						useitem				CD_Yellow			1	1	state		206	1	1	CD_Tracker			1	1	CD_Blue			-1	-1	state		205	-1	-1																																																											0
Torso - Blue -> Purple	1					18	375	5		4	tors,any	gpw,qty=3						useitem				CD_Purple			1	1	state		207	1	1	CD_Tracker			2	2	CD_Blue			-1	-1	state		205	-1	-1																																																											0
Torso - Blue -> White	1					18	375	5		4	tors,any	skz,qty=3						useitem				CD_White			1	1	state		201	1	1	CD_Tracker			-4	-4	CD_Blue			-1	-1	state		205	-1	-1																																																											0
Torso - Blue -> Black	1					18	375	5		4	tors,any	gpr,qty=3						useitem				CD_Black			1	1	state		202	1	1	CD_Tracker			-3	-3	CD_Blue			-1	-1	state		205	-1	-1																																																											0
Torso - Blue -> Red	1					18	375	5		4	tors,any	gpg,qty=3						useitem				CD_Red			1	1	state		203	1	1	CD_Tracker			-2	-2	CD_Blue			-1	-1	state		205	-1	-1																																																											0
Torso - Blue -> Green	1					18	375	5		4	tors,any	gpb,qty=3						useitem				CD_Green			1	1	state		204	1	1	CD_Tracker			-1	-1	CD_Blue			-1	-1	state		205	-1	-1																																																											0
Torso - Blue -> Normal	1					18	375	5		4	tors,any	yps,qty=3						useitem														CD_Tracker			-5	-5	CD_Blue			-1	-1	state		205	-1	-1																																																											0
Torso - Yellow -> Purple	1					18	375	6		4	tors,any	gpv,qty=3						useitem				CD_Purple			1	1	state		207	1	1	CD_Tracker			1	1	CD_Yellow			-1	-1	state		206	-1	-1																																																											0
Torso - Yellow -> White	1					18	375	6		4	tors,any	gpw,qty=3						useitem				CD_White			1	1	state		201	1	1	CD_Tracker			-5	-5	CD_Yellow			-1	-1	state		206	-1	-1																																																											0
Torso - Yellow -> Black	1					18	375	6		4	tors,any	skz,qty=3						useitem				CD_Black			1	1	state		202	1	1	CD_Tracker			-4	-4	CD_Yellow			-1	-1	state		206	-1	-1																																																											0
Torso - Yellow -> Red	1					18	375	6		4	tors,any	gpr,qty=3						useitem				CD_Red			1	1	state		203	1	1	CD_Tracker			-3	-3	CD_Yellow			-1	-1	state		206	-1	-1																																																											0
Torso - Yellow -> Green	1					18	375	6		4	tors,any	gpg,qty=3						useitem				CD_Green			1	1	state		204	1	1	CD_Tracker			-2	-2	CD_Yellow			-1	-1	state		206	-1	-1																																																											0
Torso - Yellow -> Blue	1					18	375	6		4	tors,any	gpb,qty=3						useitem				CD_Blue			1	1	state		205	1	1	CD_Tracker			-1	-1	CD_Yellow			-1	-1	state		206	-1	-1																																																											0
Torso - Yellow -> Normal	1					18	375	6		4	tors,any	yps,qty=3						useitem														CD_Tracker			-6	-6	CD_Yellow			-1	-1	state		206	-1	-1																																																											0
Torso - Purple -> White	1					18	375	7		4	tors,any	gpw,qty=3						useitem				CD_White			1	1	state		201	1	1	CD_Tracker			-6	-6	CD_Purple			-1	-1	state		207	-1	-1																																																											0
Torso - Purple -> Black	1					18	375	7		4	tors,any	skz,qty=3						useitem				CD_Black			1	1	state		202	1	1	CD_Tracker			-5	-5	CD_Purple			-1	-1	state		207	-1	-1																																																											0
Torso - Purple -> Red	1					18	375	7		4	tors,any	gpr,qty=3						useitem				CD_Red			1	1	state		203	1	1	CD_Tracker			-4	-4	CD_Purple			-1	-1	state		207	-1	-1																																																											0
Torso - Purple -> Green	1					18	375	7		4	tors,any	gpg,qty=3						useitem				CD_Green			1	1	state		204	1	1	CD_Tracker			-3	-3	CD_Purple			-1	-1	state		207	-1	-1																																																											0
Torso - Purple -> Blue	1					18	375	7		4	tors,any	gpb,qty=3						useitem				CD_Blue			1	1	state		205	1	1	CD_Tracker			-2	-2	CD_Purple			-1	-1	state		207	-1	-1																																																											0
Torso - Purple -> Yellow	1					18	375	7		4	tors,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		206	1	1	CD_Tracker			-1	-1	CD_Purple			-1	-1	state		207	-1	-1																																																											0
Torso - Purple -> Normal	1					18	375	7		4	tors,any	yps,qty=3						useitem														CD_Tracker			-7	-7	CD_Purple			-1	-1	state		207	-1	-1																																																											0
Helm - Normal -> White	1					18	375	0		4	helm,any	gpw,qty=3						useitem				CD_White			1	1	state		208	1	1	CD_Tracker			1	1				-1	-1	state			-1	-1																																																											0
Helm - Normal -> Black	1					18	375	0		4	helm,any	skz,qty=3						useitem				CD_Black			1	1	state		209	1	1	CD_Tracker			2	2				-1	-1	state			-1	-1																																																											0
Helm - Normal -> Red	1					18	375	0		4	helm,any	gpr,qty=3						useitem				CD_Red			1	1	state		210	1	1	CD_Tracker			3	3				-1	-1	state			-1	-1																																																											0
Helm - Normal -> Green	1					18	375	0		4	helm,any	gpg,qty=3						useitem				CD_Green			1	1	state		211	1	1	CD_Tracker			4	4				-1	-1	state			-1	-1																																																											0
Helm - Normal -> Blue	1					18	375	0		4	helm,any	gpb,qty=3						useitem				CD_Blue			1	1	state		212	1	1	CD_Tracker			5	5				-1	-1	state			-1	-1																																																											0
Helm - Normal -> Yellow	1					18	375	0		4	helm,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		213	1	1	CD_Tracker			6	6				-1	-1	state			-1	-1																																																											0
Helm - Normal -> Purple	1					18	375	0		4	helm,any	gpv,qty=3						useitem														CD_Tracker			7	7				-1	-1	state			-1	-1																																																											0
Helm - White -> Black	1					18	375	1		4	helm,any	skz,qty=3						useitem				CD_Black			1	1	state		209	1	1	CD_Tracker			1	1	CD_White			-1	-1	state		208	-1	-1																																																											0
Helm - White -> Red	1					18	375	1		4	helm,any	gpr,qty=3						useitem				CD_Red			1	1	state		210	1	1	CD_Tracker			2	2	CD_White			-1	-1	state		208	-1	-1																																																											0
Helm - White -> Green	1					18	375	1		4	helm,any	gpg,qty=3						useitem				CD_Green			1	1	state		211	1	1	CD_Tracker			3	3	CD_White			-1	-1	state		208	-1	-1																																																											0
Helm - White -> Blue	1					18	375	1		4	helm,any	gpb,qty=3						useitem				CD_Blue			1	1	state		212	1	1	CD_Tracker			4	4	CD_White			-1	-1	state		208	-1	-1																																																											0
Helm - White -> Yellow	1					18	375	1		4	helm,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		213	1	1	CD_Tracker			5	5	CD_White			-1	-1	state		208	-1	-1																																																											0
Helm - White -> Purple	1					18	375	1		4	helm,any	gpv,qty=3						useitem				CD_Purple			1	1	state		214	1	1	CD_Tracker			6	6	CD_White			-1	-1	state		208	-1	-1																																																											0
Helm - White -> Normal	1					18	375	1		4	helm,any	yps,qty=3						useitem														CD_Tracker			-1	-1	CD_White			-1	-1	state		208	-1	-1																																																											0
Helm - Black -> Red	1					18	375	2		4	helm,any	gpr,qty=3						useitem				CD_Red			1	1	state		210	1	1	CD_Tracker			1	1	CD_Black			-1	-1	state		209	-1	-1																																																											0
Helm - Black -> Green	1					18	375	2		4	helm,any	gpg,qty=3						useitem				CD_Green			1	1	state		211	1	1	CD_Tracker			2	2	CD_Black			-1	-1	state		209	-1	-1																																																											0
Helm - Black -> Blue	1					18	375	2		4	helm,any	gpb,qty=3						useitem				CD_Blue			1	1	state		212	1	1	CD_Tracker			3	3	CD_Black			-1	-1	state		209	-1	-1																																																											0
Helm - Black -> Yellow	1					18	375	2		4	helm,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		213	1	1	CD_Tracker			4	4	CD_Black			-1	-1	state		209	-1	-1																																																											0
Helm - Black -> Purple	1					18	375	2		4	helm,any	gpv,qty=3						useitem				CD_Purple			1	1	state		214	1	1	CD_Tracker			5	5	CD_Black			-1	-1	state		209	-1	-1																																																											0
Helm - Black -> White	1					18	375	2		4	helm,any	gpw,qty=3						useitem				CD_White			1	1	state		208	1	1	CD_Tracker			-1	-1	CD_Black			-1	-1	state		209	-1	-1																																																											0
Helm - Black -> Normal	1					18	375	2		4	helm,any	yps,qty=3						useitem														CD_Tracker			-2	-2	CD_Black			-1	-1	state		209	-1	-1																																																											0
Helm - Red -> Green	1					18	375	3		4	helm,any	gpg,qty=3						useitem				CD_Green			1	1	state		211	1	1	CD_Tracker			1	1	CD_Red			-1	-1	state		210	-1	-1																																																											0
Helm - Red -> Blue	1					18	375	3		4	helm,any	gpb,qty=3						useitem				CD_Blue			1	1	state		212	1	1	CD_Tracker			2	2	CD_Red			-1	-1	state		210	-1	-1																																																											0
Helm - Red -> Yellow	1					18	375	3		4	helm,any	gpy,qty=3						useitem				CD_Yellow			1	1	state		213	1	1	CD_Tracker			3	3	CD_Red			-1	-1	state		210	-1	-1																																																											0
